#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-4067.222503,730,3192.775665,0.44037415331829916
-1341.458627,23,3192.926202,36.69815664736401
-736.144637,822,3198.27988,0.379449574782785
-9457.425081,1234,3206.31556,2.2319625992782806
-6195.368411,1263,3214.507961,2.9112319532877153
-5499.603848,797,3219.701355,0.36968122582040064
-498.582885,714,3224.363124,0.3424620076345897
-1082.871334,739,3229.196035,0.353242103880739
-8451.578231,1010,3235.754849,1.624522734020667
-5290.825768,907,3241.690774,1.301183254771009
-10396.83301,989,3248.159057,0.47687531684988077
289.267891,416,3250.816709,0.3879203419369074
-972.189474,803,3256.045988,0.34493393569807274
-2169.978165,661,3260.373105,0.48798888714129296
-164.73862,622,3264.425534,0.4386033784646737
-1551.993317,810,3269.702489,1.5289082249253114
-4707.786274,800,3274.905641,0.3816308160251538
-1964.651193,1763,3286.707014,0.6272136552918174
-187.369776,562,3290.33954,0.8589846270473112
-1052.560704,988,3296.778754,0.3966992526356956
-6168.624669,777,3301.853879,0.3650934646878964
-3235.708661,1515,3311.696183,12.922334970163835
-2716.524651,356,3313.997853,14.587086251247847
-3480.852562,67,3314.426888,62.17460225284604
612.747895,312,3316.479288,0.4948254015714864
-3051.170048,656,3320.734627,1.439369160122734
-204.839645,665,3325.104557,0.5104861751790236
-2888.725874,1002,3331.537028,0.8232285098234617
716.926359,217,3333.106694,0.4436483582329567
76.579348,473,3336.209865,0.328883968732451
-10020.487018,779,3341.318169,0.38090893887168104
-1000.034245,1,3341.32517,4.091748719125812
-10055.400473,1040,3348.194129,1.4164284768006743
-2775.146843,101,3348.877923,13.029521194883554
-3502.743783,818,3354.156259,0.540182788535497
-1394.418443,1680,3365.153644,1.0484851545135128
-1215.531197,82,3365.684756,8.092679007997845
293.899815,397,3368.276411,1.227790556567457
-5893.660156,2802,3386.554122,10.106001005431796
-399.507551,687,3391.077944,0.4773245765438208
-1250.039915,351,3393.352657,3.531804333550113
-374.488727,655,3397.654911,0.8185791114731221
214.312985,382,3400.127827,0.35712087274924414
662.100012,219,3401.548151,0.32970394781877194
-874.828015,1234,3409.590244,0.4670895321030965
-4834.951084,977,3415.963358,0.5164604267946136
-2483.272999,1072,3422.983179,20.22513646825339
-45.343011,545,3426.535569,0.8596615340204001
-377.102957,644,3430.771949,0.46537417384031254
378.924592,440,3433.643269,0.43576146434171653
-4999.018942,776,3438.693017,1.4522531777099008
-5650.876742,848,3444.16874,0.6551740784239581
-1720.153977,514,3447.521156,11.604302647747888
14.098107,503,3450.730404,0.5280051347938237
-1102.348074,594,3454.648772,0.4495176916405764
-2101.028384,693,3459.171332,2.3540786501776525
1274.125937,157,3460.201654,0.37144583795194647
-1260.90162,1194,3468.012463,0.4148263182922034
-1179.90704,80,3468.560646,6.9030330259319514
-4485.055012,759,3473.5826,0.9978367224725309
-120.335128,600,3477.521672,0.39376810772973736
-1471.158829,535,3480.988463,2.707572294643125
573.688436,311,3483.049135,0.4325671370900728
-1243.428038,1072,3490.036251,0.5177159417678889
-7297.394282,873,3495.717633,0.47648447008397976
-238.51422,606,3499.637692,0.494781434510434
50.541996,513,3503.020524,2.8485766619974155
-4798.103501,928,3509.175218,0.3240188911091713
-4153.000386,1228,3517.161226,0.35257521706399203
-3379.721625,693,3521.671406,0.4176077434000536
-715.795298,700,3526.319356,0.46986100388280105
-7967.982485,3024,3545.950563,0.4073227303861481
-13852.593159,1181,3553.670782,0.33838233278208757
-2980.958978,934,3559.736231,1.1020988787740518
-2089.767261,573,3563.449836,7.089446935588834
-1366.969067,145,3564.434985,10.094524762254176
-2638.816204,658,3568.679987,20.32657905268913
187.663514,389,3571.191871,0.31150360521520265
-3487.144526,663,3575.522393,0.3973779227960616
96.121789,436,3578.392817,0.4681519154907742
133.447334,386,3580.958254,0.7757454363012427
-2497.221688,565,3584.65965,15.605340643608393
-5185.217646,723,3589.367069,0.6639403816826895
-563.839625,665,3593.668006,0.34814727070623763
199999.999653,1,3593.675006,0.25333124855704736
-1279.908363,893,3599.545823,0.4142480424740601
-991.619052,1168,3607.192857,0.7134210891736585
-8119.705742,878,3612.933325,0.4515321694124775
-1636.717006,852,3618.434579,4.074128619640896
32.729917,457,3621.448529,0.6355097165041006
-1376.115586,461,3624.440513,4.49480480941689
-7097.033601,505,3627.677687,12.510197318960232
-1000.235406,1,3627.68469,3.5543508296581576
-1340.985567,628,3631.804596,1.7850344822748443
-5550.52797,733,3636.616576,0.3973717003945939
393.83931,332,3638.773191,0.6779316614595563
-1000.015684,1,3638.782192,2.8133397964333255
-5083.566374,554,3642.375853,3.2480807359843626
-1444.529438,529,3645.894251,1.9144555836790556
-9506.273802,1241,3654.117366,27.327509615631573
-4745.719388,707,3658.730623,0.4230250861967761
-2143.564835,271,3660.512143,14.291304324389394
-5584.176606,1775,3672.108438,10.902272664476484
-3012.796661,1661,3682.916701,2.471515944589346
-2269.453891,563,3686.595745,0.34328859854510735
-5180.839622,1498,3696.394766,18.427107284009253
-2118.698236,717,3701.061963,2.459730395582747
-11897.448263,895,3706.856643,0.30357968215835235
